Grafica,Precio,Enlace
Nvidia Tesla K20 5gb Gpu Active Cooling 2496 Cuda Cores ,"3,500",https://articulo.mercadolibre.com.mx/MLM-1347090906-nvidia-tesla-k20-5gb-gpu-active-cooling-2496-cuda-cores-_JM#position=22&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Amd R7 360,"3,500",https://articulo.mercadolibre.com.mx/MLM-1351329090-amd-r7-360-_JM#position=23&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Gtx 750ti,"3,500",https://articulo.mercadolibre.com.mx/MLM-1359047669-gtx-750ti-_JM#position=24&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
R9 280x,"3,500",https://articulo.mercadolibre.com.mx/MLM-1362884167-r9-280x-_JM#position=25&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Egva Geforce Gtx 660 Sc 2 Gb Gddr5 ,"3,600",https://articulo.mercadolibre.com.mx/MLM-1351113153-egva-geforce-gtx-660-sc-2-gb-gddr5-_JM#position=26&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Tarjeta De Video Quadro P600 Para Videojuegos Y Diseño.,"3,800",https://articulo.mercadolibre.com.mx/MLM-1342178739-tarjeta-de-video-quadro-p600-para-videojuegos-y-diseno-_JM#position=27&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Tarjeta De Video Veineda R9 370 4gb Gddr5 256bits,"3,800",https://articulo.mercadolibre.com.mx/MLM-1360823769-tarjeta-de-video-veineda-r9-370-4gb-gddr5-256bits-_JM#position=28&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Asus Gtx760 2gb Gtx760-dc20c-2gd5  Nvidia Geforce,"3,899",https://articulo.mercadolibre.com.mx/MLM-1333982352-asus-gtx760-2gb-gtx760-dc20c-2gd5-nvidia-geforce-_JM#position=29&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Tarjeta Grafica 4 Gb Yeston,"3,899",https://articulo.mercadolibre.com.mx/MLM-1347794231-tarjeta-grafica-4-gb-yeston-_JM#position=30&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Amd Rx-550 2gb Tarjeta De Video Radeon Gigabyte,"3,899",https://articulo.mercadolibre.com.mx/MLM-1347980114-amd-rx-550-2gb-tarjeta-de-video-radeon-gigabyte-_JM#position=31&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Tarjeta De Video Amd Biostar Rx560 2gb Ddr5/dvi/hdmi/dp,"3,950",https://articulo.mercadolibre.com.mx/MLM-1361292328-tarjeta-de-video-amd-biostar-rx560-2gb-ddr5dvihdmidp-_JM#position=32&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Tarjeta De Video Amd Radeon Hd7570 Dvi Video Card 9m4kg,"3,950",https://articulo.mercadolibre.com.mx/MLM-1362257794-tarjeta-de-video-amd-radeon-hd7570-dvi-video-card-9m4kg-_JM#position=33&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
